company_name,title,pay_text,hourly_wage_min,hourly_wage_max,employment_type,store_type
株式会社エス・マーケティング・デザイン・ジャパン,オープニングスタッフ／販売系イベントスタッフ 仙川駅周辺案件,"時給1,600円～2,000円 / 交通費支給",1600,2000,アルバイト・パート,チェーン店
株式会社ココチーノ,ステーキやパスタを提供する地中海酒場のキッチン／週1日～OK!,"時給1,400円～1,750円 / 交通費支給",1400,1750,アルバイト・パート,チェーン店
株式会社Made in 大地,パートとんかつ屋の店舗スタッフ／常連さんに愛されるお店!未経験歓迎 まかないが大人気!001,"時給1,250円～1,350円 / 交通費支給",1250,1350,アルバイト・パート,チェーン店
医療法人社団泰信会 秋田医院,准・正看護師,"時給2,000円～2,500円 / 交通費支給",2000,2500,アルバイト・パート,不明
ホンダロジコム株式会社,「2025年2月～」家電修理作業スタッフ／入社祝い金あり／未経験可／髪色髪型・ネイル自由／週3,"時給1,300円～ / 交通費支給",1300,1300,アルバイト・パート,チェーン店
ユアサモビリティサービス株式会社,ドライバー／洗車／サービス系 体感10分で日収1万円 ドライブ気分でレンタカーのお届け 回収,"時給1,250円～ / 交通費支給",1250,1250,アルバイト・パート,チェーン店
ヤマト運輸株式会社,台車で荷物を運ぶ,"時給1,800円 / 交通費支給",1800,1800,アルバイト・パート,チェーン店
マンボープラス渋谷センター街店,渋谷のネットカフェアルバイト!髪色・ピアス・ネイル自由!シフトは毎週提出で予定も合わせやすい,"時給1,230円～1,750円 / 交通費支給",1230,1750,アルバイト・パート,不明
マンボープラス 池袋北口店,池袋のネットカフェアルバイト!髪色・ピアス・ネイル自由!シフトは毎週提出で予定も合わせやすい,"時給1,230円～1,750円 / 交通費支給",1230,1750,アルバイト・パート,不明
株式会社Winエンタープライズ,テレアポスタッフ,"時給1,500円～3,000円 / 交通費支給",1500,3000,アルバイト・パート,チェーン店
株式会社ダイムラー,週2日～OK!寿司屋のホールスタッフ／まかないあり／学生&子育て世代活躍中,"時給1,300円 / 交通費支給",1300,1300,アルバイト・パート,チェーン店
株式会社FMサポート21,企業内メール室スタッフ,"時給1,300円～ / 交通費支給",1300,1300,アルバイト・パート,チェーン店
株式会社サンウェルズ,2026年2月オープン予定／介護事務・医療事務／PDハウス中野白鷺／上場企業／年間休日120日以上,"時給1,230円～ / 交通費支給",1230,1230,アルバイト・パート,チェーン店
株式会社串の蔵,時給1300円・駅チカ／まかないが「超充実」／キッチンスタッフ／柔軟なシフト調整可能,"時給1,300円～ / 交通費支給",1300,1300,アルバイト・パート,チェーン店
モロゾフ株式会社,バレンタイン販売スタッフ,"時給1,370円 / 交通費支給",1370,1370,アルバイト・パート,チェーン店
フロプレステージュ 秋葉原駅店,できたて手作りスイーツの販売スタッフ,"時給1,300円～ / 交通費支給",1300,1300,アルバイト・パート,不明
LEOホールディングス合同会社,日勤のタクシーの洗車スタッフ,"時給1,460円 / 交通費支給",1460,1460,アルバイト・パート,チェーン店
赤坂ビストロ 345,金髪ネイル可／ビストロのホールスタッフ,"時給1,400円～1,750円 / 交通費支給",1400,1750,アルバイト・パート,個人店（推定）
フロプレステージュ 大森とうきゅう店,タルトやケーキの製造スタッフ,"時給1,226円～1,296円 / 交通費支給",1226,1296,アルバイト・パート,不明
アーバンパブ Mur,キャバクラのバーテンダーホール,"時給1,500円～",1500,1500,アルバイト・パート,個人店（推定）
