company_name,title,pay_text,hourly_wage_min,hourly_wage_max,employment_type,store_type
株式会社Made in 大地,パートとんかつ屋の店舗スタッフ／常連さんに愛されるお店!未経験歓迎 まかないが大人気!001,"時給1,250円～1,350円 / 交通費支給",1250,1350.0,アルバイト・パート,チェーン店
医療法人社団泰信会 秋田医院,准・正看護師,"時給2,000円～2,500円 / 交通費支給",2000,2500.0,アルバイト・パート,不明
ホンダロジコム株式会社,「2025年2月～」家電修理作業スタッフ／入社祝い金あり／未経験可／髪色髪型・ネイル自由／週3,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
株式会社ココチーノ,地中海酒場のホールスタッフ／学生・フリーター・主婦活躍中 週1日～・1日3時間～OK,"時給1,400円～1,750円 / 交通費支給",1400,1750.0,アルバイト・パート,チェーン店
ユアサモビリティサービス株式会社,ドライバー／洗車／サービス系 体感10分で日収1万円 ドライブ気分でレンタカーのお届け 回収,"時給1,400円～ / 交通費支給",1400,1400.0,アルバイト・パート,チェーン店
ネットルームマンボー 浅草ロック座店,浅草のネットカフェアルバイト! 夕勤&夜勤大募集! 髪色・ピアス・ネイル自由!,"時給1,230円～1,812円 / 交通費支給",1230,1812.0,アルバイト・パート,不明
マンボープラス渋谷センター街店,渋谷のネットカフェアルバイト!髪色・ピアス・ネイル自由!シフトは毎週提出で予定も合わせやすい,"時給1,230円～1,750円 / 交通費支給",1230,1750.0,アルバイト・パート,不明
マンボープラス 池袋北口店,池袋のネットカフェアルバイト!髪色・ピアス・ネイル自由!シフトは毎週提出で予定も合わせやすい,"時給1,230円～1,750円 / 交通費支給",1230,1750.0,アルバイト・パート,不明
ネットルームマンボー新宿総本店,新宿三丁目のネットカフェアルバイト!髪色・ピアス・ネイル自由!シフトは毎週提出で予定も合わせやすい,"時給1,230円～1,750円 / 交通費支給",1230,1750.0,アルバイト・パート,不明
社会福祉法人雲柱社,小学校内・放課後児童クラブスタッフ／子どもと向き合う仕事／未経験歓迎／週1日～OK／家庭と両立,"時給1,230円～1,280円 / 交通費支給",1230,1280.0,アルバイト・パート,個人店（推定）
株式会社ジェイピーエル,パチンコ店のカウンタースタッフ／新年から新バイト 最大時給1813円!週2～WワークOK,"時給1,350円～1,813円 / 交通費支給",1350,1813.0,アルバイト・パート,チェーン店
株式会社FMサポート21,ビル内宅配便・郵便物の配送・集荷スタッフ,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
株式会社ダイムラー,週2日～OK!寿司屋のホールスタッフ／まかないあり／学生&子育て世代活躍中,"時給1,300円 / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
銀のさら 練馬大泉店,お寿司などの配達／容器の回収,"時給1,226円～",1226,,アルバイト・パート,個人店（推定）
銀のさら・釜寅 国分寺店,フードデリバリースタッフ,"時給1,240円～",1240,,アルバイト・パート,不明
株式会社サンウェルズ,2026年2月オープン予定／介護事務・医療事務／PDハウス中野白鷺／上場企業／年間休日120日以上,"時給1,230円～ / 交通費支給",1230,1230.0,アルバイト・パート,チェーン店
ヤマト運輸株式会社,台車で荷物を運ぶ,"時給1,800円 / 交通費支給",1800,1800.0,アルバイト・パート,チェーン店
株式会社エス・マーケティング・デザイン・ジャパン,オープニングスタッフ／販売系イベントスタッフ 仙川駅周辺案件,"時給1,600円～2,000円 / 交通費支給",1600,2000.0,アルバイト・パート,チェーン店
LEOホールディングス合同会社,日勤のタクシーの洗車スタッフ,"時給1,460円 / 交通費支給",1460,1460.0,アルバイト・パート,チェーン店
フロプレステージュ 秋葉原駅店,できたて手作りスイーツの販売スタッフ,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,不明
カジュアルBARラウンジ SPEED 立川店,カジュアルBARラウンジのバーテンダー・ホール,"時給1,500円～",1500,,アルバイト・パート,不明
個別指導キャンパス 浮間舟渡校,チューター 高校生メイン,"時給1,275円～ / 交通費支給",1275,1275.0,アルバイト・パート,不明
創作バル 新宿 伊まる,話題の創作和食酒場／店舗スタッフ,"時給1,400円～1,750円 / 交通費支給",1400,1750.0,アルバイト・パート,不明
ネットルームマンボー新宿総本店,新宿三丁目のネットカフェアルバイト!髪色・ピアス・ネイル自由!シフトは毎週提出で予定も合わせやすい,"時給1,230円～1,750円 / 交通費支給",1230,1750.0,アルバイト・パート,不明
株式会社FMサポート21,企業内メール室スタッフ,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
株式会社ダイムラー,週2日～OK!寿司屋のホールスタッフ／まかないあり／学生&子育て世代活躍中,"時給1,300円 / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
ヤマト運輸株式会社,台車で荷物を運ぶ,"時給1,800円 / 交通費支給",1800,1800.0,アルバイト・パート,チェーン店
倶楽部 辰巳,NEW OPEN 高級クラブのホールスタッフ,"時給1,600円～2,000円",1600,2000.0,アルバイト・パート,個人店（推定）
株式会社串の蔵,時給1300円・駅チカ／まかないが「超充実」／キッチンスタッフ／柔軟なシフト調整可能,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
モロゾフ株式会社,バレンタイン販売スタッフ,"時給1,360円 / 交通費支給",1360,1360.0,アルバイト・パート,チェーン店
CELUX／株式会社ビジョンバンク,高級キャバクラでのお客様案内スタッフ,"時給1,800円～3,000円",1800,3000.0,アルバイト・パート,チェーン店
甘味おかめ 麹町店,厨房,"時給1,300円 / 交通費支給",1300,1300.0,アルバイト・パート,個人店（推定）
アイシティ ルミネ荻窪店,コンタクトレンズの受付スタッフ,"時給1,350円～ / 交通費支給",1350,1350.0,アルバイト・パート,不明
プティ デリリウム タップカフェ 新宿サザンテラス,カフェレストランのキッチンスタッフ／新宿南口すぐ,"時給1,280円～ / 交通費支給",1280,1280.0,アルバイト・パート,不明
麺屋ひょっとこ交通会館店,ラーメン店の店舗スタッフ,"時給1,300円 / 交通費支給",1300,1300.0,アルバイト・パート,不明
朝日建物管理株式会社,エンタメ新施設の清掃スタッフ／朝7時からのフルタイム／未経験OK,"時給1,480円 / 交通費支給",1480,1480.0,アルバイト・パート,チェーン店
株式会社ボディアーキ・ジャパン,セルフエステの接客スタッフ,"時給1,330円～1,500円 / 交通費支給",1330,1500.0,アルバイト・パート,チェーン店
台湾点心とビール 恒久飯店,FOOD STADIUM TOKYOのキッチンスタッフ／東京ドームシティ新施設,"時給1,280円～ / 交通費支給",1280,1280.0,アルバイト・パート,不明
コメダ珈琲店 浅草ROX店,カフェスタッフ,"時給1,330円～1,380円 / 交通費支給",1330,1380.0,アルバイト・パート,不明
良心的大衆酒場 「鶴亀八番」池袋店,"日本酒好きに愛される居酒屋を""熱く楽しく""盛り上げるアルバイトスタッフ","時給1,300円～1,625円 / 交通費支給",1300,1625.0,アルバイト・パート,不明
銀のさら・釜寅・すし上等 高井戸店,フードデリバリースタッフ,"時給1,250円～ / 交通費支給",1250,1250.0,アルバイト・パート,不明
家庭教師のノーバス,小学生向けの家庭教師,"時給1,400円～9,000円 / 交通費支給",1400,9000.0,アルバイト・パート,個人店（推定）
ベル・オーブ 東京芸術劇場,カフェレストランのホール スタッフ／池袋駅西口すぐ,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,不明
デリリウムカフェレゼルブ 赤坂サカス,カフェレストランのキッチンスタッフ／赤坂駅直結,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,不明
BAR SAKE LAB,バーレディ,"時給3,000円～",3000,,アルバイト・パート,不明
立食い寿司 根室花まる 錦糸町テルミナ店,寿司屋スタッフ／テルミナ店,"時給1,400円～1,863円 / 交通費支給",1400,1863.0,アルバイト・パート,不明
株式会社Dコネクト,髪色・ネイル・服装自由なコールセンタースタッフ／未経験OK／即日勤務可能／シフト自由,"時給1,500円～2,000円 / 交通費支給",1500,2000.0,アルバイト・パート,チェーン店
立川髙島屋S.C.大腸胃食道の内視鏡・消化器内科...,看護師パート!立川髙島屋S.C.内視鏡クリニック,"時給2,000円～ / 交通費支給",2000,2000.0,アルバイト・パート,不明
立食い寿司 根室花まる 錦糸町テルミナ店,寿司屋スタッフ／テルミナ店,"時給1,400円～1,863円 / 交通費支給",1400,1863.0,アルバイト・パート,不明
アイエムエムフードサービス株式会社,2026年にオープンするレストラキッチンスタッフ／NEWスタッフ大募集!,"時給1,300円～1,800円 / 交通費支給",1300,1800.0,アルバイト・パート,チェーン店
中華そば 半ざわ,ラーメン屋のホールスタッフ／週1日～、1日3時間～OK!シフトや髪型・髪色も自由です,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,個人店（推定）
シダックス大新東ヒューマンサービス株式会社,放課後子ども教室の保育補助／11:30～18:00／無資格・未経験OK／週2・6.5h～・土日祝休,"時給1,300円 / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
モダン九州酒場 くろしき 新橋,カジュアルな九州料理酒場／調理サポートスタッフ,"時給1,400円～2,000円 / 交通費支給",1400,2000.0,アルバイト・パート,不明
株式会社ドン,アクセサリー販売会社での商品管理スタッフ／資格不問 未経験歓迎!オシャレ自由!社販有,"時給1,230円～ / 交通費支給",1230,1230.0,アルバイト・パート,チェーン店
回転寿司根室花まる メトロエム後楽園店,回転寿司店舗スタッフ／後楽園店,"時給1,450円～1,863円 / 交通費支給",1450,1863.0,アルバイト・パート,不明
立食い寿司 根室花まる エキュートエディション新...,ホール・サービススタッフ／新橋店,"時給1,500円～1,863円 / 交通費支給",1500,1863.0,アルバイト・パート,不明
株式会社恵,送迎ドライバー,"時給1,250円～1,400円 / 交通費支給",1250,1400.0,アルバイト・パート,チェーン店
大平薬局,残業なし&駅チカ!シフトも柔軟に対応OK!調剤薬局の薬剤師,"時給2,000円 / 交通費支給",2000,2000.0,アルバイト・パート,個人店（推定）
BAR MIMI,バーテンダーキャスト,"時給2,850円～4,150円",2850,4150.0,アルバイト・パート,個人店（推定）
